"Abschicken","Submit"
"Datenschutz","Privacy"
"Deine Antworten wurden gespeichert. Vielen Dank!","Your answers have been saved. Thanks!"
"Hast du dich während der Beratung gut aufgehoben gefühlt?","Did you feel that you were in good hands during the consultation?"
"Hat der Kurs, den du besuchst/besucht hast, dir beim Deutschlernen weitergeholfen?","Did the course you attend/have attended help you to learn German?"
"Impressum","Imprint"
"Ja","Yes"
"Konntest du alle deine Fragen stellen?","Were you able to ask all your questions?"
"KuB Feedback","KuB Feedback"
"Nein","No"
"Neutral","Neutral"
"Vielen Dank, dass du uns Feedback gibst! Das Feedback hilft uns dabei, unsere Angebote zu verbessern. Du musst uns nicht sagen, wer du bist.","Thank you for giving us feedback! Feedback helps us to improve our services. You don't have to tell us who you are."
"Waren die Informationen, die du in der Sprechstunde/bei der Anmeldung bekommen hast, klar und verständlich?","Was the information you received during the consultation/registration clear and understandable?"
"Wie verständlich war die Beratung?","How comprehensible was the advice?"
"Wurden alle deine Fragen beantwortet?","Have all your questions been answered?"
"Wurdest du in dem Gespräch während der Sprechstunde aufgrund deiner Hautfarbe, deiner Religion, deines Geschlechts oder deiner Herkunft diskriminiert?","Were you discriminated against during the consultation because of the color of your skin, your religion, your gender or your place of origin?"
"Wurdest du in dem Kurs, den du besuchst/besucht hast, aufgrund deiner Hautfarbe, deiner Religion, deines Geschlechts oder deiner Herkunft diskriminiert?","Were you discriminated against in the course you attend/attended because of your skin color, religion, gender or place of origin?"
